,Name,SMARTS
141,Esterification of Acid Halides,"[C+0:1](=[O+0:2])[F,Cl,Br,I;+0:3].[C,c;!$(*=O);+0:4][O+0H:5]>>[*:1](=[*:2])[*:5][*:4].[*:3]"
142,"Esterification of Acid Halides, Intramolecular","([C+0:1](=[O+0:2])[F,Cl,Br,I;+0:3].[C,c;!$(*=O);+0:4][O+0H:5])>>[*:1](=[*:2])[*:5][*:4].[*:3]"
143,Ester Reduction to Aldehydes and Alcohols,[O+0H0!R:1][C+0:2]=[O+0:3].[H][H]>>[*:1].[*:2]=[*:3]
144,"Ester Reduction to Aldehydes and Alcohols, Intramolecular",[O+0H0R:1][C+0:2]=[O+0:3].[H][H]>>([*:1].[*:2]=[*:3])
145,Ester Reduction to Alcohols,[O+0H0!R:1][C+0:2]=[O+0:3].[H][H]>>[*:1].[*:2][*:3]
146,"Ester Reduction to Alcohols, Intramolecular",[O+0H0R:1][C+0:2]=[O+0:3].[H][H]>>([*:1].[*:2][*:3])
147,Transesterification,[C+0:1](=[O+0:2])!@[O+0:3][*+0:4].[*+0:6][O+0H;!$(*-C=O):5]>>[*:1](=[*:2])[*:5][*:6].[*:4][*:3]
148,"Transesterification, Intramolecular",([C+0:1](=[O+0:2])!@[O+0:3][*+0:4].[*+0:6][O+0H;!$(*-C=O):5])>>[*:1](=[*:2])[*:5][*:6].[*:4][*:3]
149,Benzene Hydrogenation,[c+0:1]1:[c+0:2]:[c+0:3]:[c+0:4]:[c+0:5]:[c+0:6]:1.[H][H]>>[*:1]1[*:2][*:3][*:4][*:5][*:6]1
150,Kolbe Carboxylation,[c+0:1]1:[c+0:2]([O+0H:7]):[c+0H:3]:[c+0:4]:[c+0:5]:[c+0:6]:1.[O+0:8]=[C+0:9]=[O+0:10]>>[*:1]1:[*:2]([*:7]):[*:3]([*:9](=[*:8])[*:10]):[*:4]:[*:5]:[*:6]:1
151,Phenols Oxidation to Quinones 1,[c+0;!$(*~O):1]1:[c+0:2]([O+0H:7]):[c+0;!$(*~O):3]:[c+0;!$(*~O):4]:[c+0H:5]:[c+0;!$(*~O):6]:1.[O+0:8]=[O+0:9]>>[*:1]1[*:2](=[*:7])[*:3]=[*:4][*:5](=[*:8])[*:6]=1.[*:9]
152,Phenols Oxidation to Quinones 2,[c+0;!$(*~O):1]1:[c+0:2]([O+0H:7]):[c+0H;!$(*~O):3]:[c+0;!$(*~O):4]:[c+0:5]([*;!O+0:10]):[c+0;!$(*~O):6]:1.[O+0:8]=[O+0:9]>>[*:1]1[*:2](=[*:7])[*:3](=[*:8])[*:4]=[*:5]([*:10])[*:6]=1.[*:9]
153,Phenols Oxidation to Quinones 3,[c+0;!$(*~O):1]1:[c+0:2]([O+0H:7]):[c+0:3]([O+0H:8]):[c+0;!$(*~O):4]:[c+0;!$(*~O):5]:[c+0;!$(*~O):6]:1.[O+0:9]=[O+0]>>[*:1]1[*:2](=[*:7])[*:3](=[*:8])[*:4]=[*:5][*:6]=1.[*:9]
154,Phenols Oxidation to Quinones 3 Reverse,[C+0:1]1[C+0:2](=[O+0:7])[C+0:3](=[O+0:8])[C+0:4]=[C+0:5][C+0:6]=1.[H][H]>>[*:1]1:[*:2]([*:7]):[*:3]([*:8]):[*:4]:[*:5]:[*:6]:1
155,Phenols Oxidation to Quinones 4,[c+0;!$(*~O):1]1:[c+0:2]([O+0H:7]):[c+0;!$(*~O):3]:[c+0;!$(*~O):4]:[c+0:5]([O+0H:8]):[c+0;!$(*~O):6]:1.[O+0:9]=[O+0]>>[*:1]1[*:2](=[*:7])[*:3]=[*:4][*:5](=[*:8])[*:6]=1.[*:9]
156,Phenols Oxidation to Quinones 4 Reverse,[C+0:1]1[C+0:2](=[O+0:7])[C+0:3]=[C+0:4][C+0:5](=[O+0:8])[C+0:6]=1.[H][H]>>[*:1]1:[*:2]([*:7]):[*:3]:[*:4]:[*:5]([*:8]):[*:6]:1
157,Quinones Addition,"[C+0:1]1[C+0:2](=[O+0:7])[C+0:3]=[C+0H:4][C+0:5](=[O+0:8])[C+0:6]=1.[F,Cl,Br,I;+0H:9]>>[*:1]1:[*:2]([*:7]):[*:3]:[*:4]([*:9]):[*:5]([*:8]):[*:6]:1"
158,Naphthalene Oxidation with CrO3,[c+0:1]1:[c+0H:2]:[c+0:3]([c+0:9][c+0:10][c+0:11][c+0:12]2):[c+0:4]2:[c+0H:5]:[c+0:6]:1.[O+0:7]=[O+0:8]>>[*:1]1[*:2](=[*:7])[*:3](:[*:9]:[*:10]:[*:11]:[*:12]:2)=[*:4]2[*:5](=[O])[*:6]=1.[*:8]
159,Naphthalene Oxidation with V2O5 Catalyst,[c+0:1]1:[c+0:2]:[c+0:3]([c+0H:9][c+0H:10][c+0H][c+0H:12]2):[c+0:4]2:[c+0:5]:[c+0:6]:1.[O+0:7]=[O+0:8]>>[*:1]1:[*:2]:[*:3]([C:9](=[O])[O]):[*:4]([C:12](=[O])[O]):[*:5]:[*:6]:1.[*:7]=[C:10]=[O].[*:8]
160,Oxidation of Aromatic Alkanes Ar-CH3,[c+0:1][C+0H3:2].[O+0:3]=[O+0:4]>>[*:1][*:2](=[*:3])[O].[*:4]
161,Oxidation of Aromatic Alkanes Ar-CH2CH3,[c+0:1][C+0H2:2][C+0H3:3].[O+0:4]=[O+0:5]>>[*:1][*:2](=[*:4])[O].[O]=[*:3]=[O].[*:5]
162,Oxidation of Aromatic Alkanes Ar-(CH3)CH3,[c+0:1][C+0H:2]([C+0H3:3])[C+0H3].[O+0:4]=[O+0:5]>>[*:1][*:2](=[*:4])[O].[O]=[*:3]=[O].[*:5]
163,Oxidation of Aromatic Alkanes Ar-long_chain,[c+0:1][C+0H2:2]!@[C+0H2:3][C+0!H3:4].[O+0:5]=[O+0:6]>>[*:1][*:2](=[*:5])[O].[*:4][*:3](=[O])[O].[*:6]
164,Oxidation of Aromatic Alkanes Ring-opening 1,[c+0:1][C+0H2:2]@-[C+0H2:3].[O+0:4]=[O+0:5]>>([*:1][*:2](=[*:4])[O].[*:3](=[O])[O]).[*:5]
165,Oxidation of Aromatic Alkanes Ring-opening 2,[c+0:1][C+0H:2]@=[C+0H:3].[O+0:4]=[O+0:5]>>([*:1][*:2](=[*:4])[O].[*:3](=[*:5])[O])
166,"Oxidation of Aromatic Alkanes Ar-CH3, 2-step",([c+0:1][C+0H3:2].[c+0:5][C+0H3:6]).[O+0:3]=[O+0:4]>>([*:1][*:2](=[*:3])[O].[*:5][*:6](=[O])[O]).[*:4]
167,"Oxidation of Aldehyde & Aromatic Alkanes, 2-step",([C+0!H0:1]=[O+0:2].[c+0:5][C+0H3:6]).[O+0:3]=[O+0:4]>>([*:1](=[*:2])[*:3].[*:5][*:6](=[O])[O]).[*:4]
168,"Oxidation of Alcohol & Aromatic Alkanes, 2-step","([C+0;H3,H2:1][O+0H:2].[c+0:5][C+0H3:6]).[O+0:3]=[O+0:4]>>([*:1](=[*:2])[*:3].[*:5][*:6](=[O])[O]).[*:4]"
169,Halogenation of Aromatic Alkanes,"[c+0:1][C+0!H0:2].[F,Cl,Br,I;+0:3][F,Cl,Br,I;+0:4]>>[*:1][*:2][*:3].[*:4]"
170,Electrophilic Aromatic Alkylation with Alkenes,[c+0H:1].[C+0:2]=[C+0:3]>>[*:1][*:2][*:3]
171,"Electrophilic Aromatic Alkylation with Alkenes, Intramolecular",([c+0H:1].[C+0:2]=[C+0:3])>>[*:1][*:2][*:3]
172,Electrophilic Aromatic Alkylation with Alcohols,[c+0H:1].[C+0;!$(*=O):2][O+0H:3]>>[*:1][*:2].[*:3]
173,"Electrophilic Aromatic Alkylation with Alcohols, Intramolecular",([c+0H:1].[C+0:2][O+0H:3])>>[*:1][*:2].[*:3]
174,Furan Carboxylation,[o+0:1]1:[c+0H:2]:[c+0:3]:[c+0:4]:[c+0:5]:1.[O+0:8]=[C+0:9]=[O+0:10]>>[*:1]1:[*:2]([*:9](=[*:8])[*:10]):[*:3]:[*:4]:[*:5]:1
175,"Furan Carboxylation, 2-step",[o+0:1]1:[c+0H:2]:[c+0:3]:[c+0:4]:[c+0H:5]:1.[O+0:8]=[C+0:9]=[O+0:10]>>[*:1]1:[*:2]([*:9](=[*:8])[*:10]):[*:3]:[*:4]:[*:5]([C](=[O])[O]):1
176,Friedel-Crafts Hydroxyalkylation,[c+0H:1].[CX3!$(*-O)+0:2]=[O+0:3]>>[*:1][*:2][*:3]
177,"Friedel-Crafts Hydroxyalkylation, Intramolecular",([c+0H:1].[CX3!$(*-O)+0:2]=[O+0:3])>>[*:1][*:2][*:3]
178,Friedel-Crafts Hydroxyalkylation(BPA Synthesis),[c+0H:1].[c+0H:2].[CX3!$(*-O)+0:3]=[O+0:4]>>[*:1][*:3][*:2].[*:4]
179,Hydroformylation,[C+0:1]=[C+0:2].[C-1]#[O+1].[H][H]>>[*:1][*:2][C]=[O]
180,Cativa Process,[C!$(*=O)+0:1][O+0H:2].[C-1]#[O+1]>>[*:1][C](=[O])[*:2]
181,Oxidative Carbonylation 1,[C!$(*=O)+0:1][O+0H:2].[C!$(*=O)+0:5][O+0H:6].[C-1]#[O+1].[O+0:7]=[O+0]>>[*:1][*:2][C](=[O])[*:6][*:5].[*:7]
182,Oxidative Carbonylation 2,[C!$(*=O)+0:1][O+0H:2].[C!$(*=O)+0:5][O+0H:6].[C-1]#[O+1].[O+0:7]=[O+0]>>[*:1][*:2][C](=[O])[C](=[O])[*:6][*:5].[*:7]
183,"Hydrocarboxylation 1, Hydroesterification(Carboalkoxylation)",[C+0:1]=[C+0:2].[C-1]#[O+1].[O+0!H0;!$(*-C=O):5]>>[*:1][*:2][C](=[O])[*:5]
184,Hydrocarboxylation 2,[C+0:1]#[C+0:2].[C-1]#[O+1].[O+0H2:5]>>[*:1]=[*:2][C](=[O])[*:5]
185,Oxidation of Pyranosides,[C+0:9][C+0H:1]([O+0H:2])@[C+0H:3]([O+0H:4])[C+0H:5]([O+0H:6])[C+0:10].[O+0:7]=[O+0:8]>>([*:9][*:1]=[*:2].[*:10][*:5]=[*:6]).[*:7][*:3]=[*:4].[*:8]
186,Dehydration of Amides,[C+0:1](=[O+0:2])[N+0H2:3]>>[*:1]#[*:3].[*:2]
187,Ketone Reductive Amination,"[CX3!$(*[O,S,N])+0:2](=[O+0:3]).[N+0X3!H0:6].[H][H]>>[*:2][*:6].[*:3]"
188,"Ketone Reductive Amination, Intramolecular","([CX3!$(*[O,S,N])+0:2](=[O+0:3]).[N+0X3!H0:6]).[H][H]>>[*:2][*:6].[*:3]"
189,Alkylation or Acylation of Amines,"[C,c;+0:1][F,Cl,Br,I;+0:2].[NX3!H0,nH;+0:3]>>[*:1][*:3].[*:2]"
190,"Alkylation or Acylation of Amines, Intramolecular","([C,c;+0:1][F,Cl,Br,I;+0:2].[NX3!H0,nH;+0:3])>>[*:1][*:3].[*:2]"
191,Alkylation of Tertiary Amines,"[C,c;+0:1][F,Cl,Br,I;+0:2].[NX3H0+0:3]>>[*:1][*+1:3].[*-1:2]"
192,Amine Alkylation with Alcohols or Primary Amines,"[C,c;!$(*=O)+0:1][OH,NH2;+0:2].[NX3!H0,nH;+0:3]>>[*:1][*:3].[*:2]"
193,"Amine Alkylation with Alcohols or Primary Amines, Intramolecular","([C,c;!$(*=O)+0:1][OH,NH2;+0:2].[NX3!H0,nH;+0:3])>>[*:1][*:3].[*:2]"
194,Synthesis of Amides with Carboxylic Acid,[CX3+0:2](=[O+0:3])[O+0H:4].[N+0X3!H0:5]>>[*:2](=[*:3])[*:5].[*:4]
195,"Synthesis of Amides with Carboxylic Acid, Intramolecular",([CX3+0:2](=[O+0:3])[O+0H:4].[N+0X3!H0:5])>>[*:2](=[*:3])[*:5].[*:4]
196,Synthesis of Amides with Acid Anhydrides or Esters,"[CX3+0:2](=[O+0:3])-!@[O+0:4][C,c;+0:6].[N+0X3!H0:5]>>[*:2](=[*:3])[*:5].[*:4][*:6]"
197,"Synthesis of Amides with Acid Anhydrides or Esters, Intramolecular","([CX3+0:2](=[O+0:3])-!@[O+0:4][C,c;+0:6].[N+0X3!H0:5])>>[*:2](=[*:3])[*:5].[*:4][*:6]"
198,Hydrolysis of Amides,"[CX3!$(*[OH,SH])+0:2](=[O+0:3])-!@[N+0X3:5].[O+0H2:4]>>[*:2](=[*:3])[*:4].[*:5]"
199,"Hydrolysis of Amides, Intramolecular","[CX3!$(*[OH,SH])+0:2](=[O+0:3])-@[N+0X3:5].[O+0H2:4]>>([*:2](=[*:3])[*:4].[*:5])"
200,Hofmann Elimination R-NH2,"[C+0X4!H0:1][CX4+0:2][N+0H2:3].[C+0:4][F,Cl,Br,I;+0:5]>>[*:1]=[*:2].[*:3]([*:4])([*:4])[*:4].[*:5]"
201,Hofmann Elimination R-NHR,"[C+0X4!H0:1][CX4+0:2]-!@[N+0H:3].[C+0:4][F,Cl,Br,I;+0:5]>>[*:1]=[*:2].[*:3]([*:4])[*:4].[*:5]"
202,Hofmann Elimination R-NHR Ringopening,"[C+0X4!H0:1][CX4+0:2]-@[N+0H:3].[C+0:4][F,Cl,Br,I;+0:5]>>([*:1]=[*:2].[*:3]([*:4])[*:4]).[*:5]"
203,Hofmann Elimination R-NRR,"[C+0X4!H0:1][CX4+0:2]-!@[N+0X3H0:3].[C+0:4][F,Cl,Br,I;+0:5]>>[*:1]=[*:2].[*:3][*:4].[*:5]"
204,Hofmann Elimination R-NRR Ringopening,"[C+0X4!H0:1][CX4+0:2]-@[N+0X3H0:3].[C+0:4][F,Cl,Br,I;+0:5]>>([*:1]=[*:2].[*:3][*:4]).[*:5]"
205,Hofmann Rearrangement,"[C,c;+0:1][C+0:2](=[O+0:3])[N+0H2:5].[F,Cl,Br,I;+0:6][F,Cl,Br,I;+0].[O+0H2:4]>>[*:1][*:5].[*:3]=[*:2]=[*:4].[*:6]"
206,Hofmann Rearrangement with Alcohols,"[C,c;+0:1][C+0:2](=[O+0:3])[N+0H2:5].[F,Cl,Br,I;+0:6][F,Cl,Br,I;+0].[C+0!$(*=[O,S]):7][O+0H:4]>>[*:1][*:5][*:2](=[*:3])[*:4][*:7].[*:6]"
207,Hydroamination of Alkenes,[C+0:1]=[C+0:2].[N+0X3!H0:3]>>[*:1][*:2][*:3]
208,"Hydroamination of Alkenes, Intramolecular",([C+0:1]=[C+0:2].[N+0X3!H0:3])>>[*:1][*:2][*:3]
209,Hydroamination of Alkynes,[C+0:1]#[C+0:2].[N+0X3!H0:3]>>[*:1]=[*:2][*:3]
210,"Hydroamination of Alkynes, Intramolecular",([C+0:1]#[C+0:2].[N+0X3!H0:3])>>[*:1]=[*:2][*:3]
211,Hydroamination of Dienes,[C+0:1]=[C+0:2][C+0:3]=[C+0:4].[N+0X3!H0:5]>>[*:1][*:2]=[*:3][*:4][*:5]
212,"Hydroamination of Dienes, Intramolecular",([C+0:1]=[C+0:2][C+0:3]=[C+0:4].[N+0X3!H0:5])>>[*:1][*:2]=[*:3][*:4][*:5]
213,Ring Opening of Epoxides by Amines,[C+0:1]1[C+0:2][O+0:3]1.[N+0X3!H0:4]>>[*:4][*:1][*:2][*:3]
214,Aromatic Nitrosation,"[OH,N$(*([#6])([#6])[#6]);+0:10][c+0:1]1[c+0:2][c+0:3][c+0H:4][c+0:5][c+0:6]1.[O+0H:7][N+0:8]=[O+0:9]>>[*:10][*:1]1:[*:2]:[*:3]:[*:4]([*:8]=[*:9]):[*:5]:[*:6]:1.[*:7]"
215,Secondary Amines with Nitrous Acid,[*+0:1][N+0H:2][*+0:3].[O+0H:4][N+0:5]=[O+0:6]>>[*:1][*:2]([*:5]=[*:6])[*:3].[*:4]
216,Primary Amines with Nitrous Acid to Alcohols,"[C,c;+0:1][N+0H2:2].[O+0H:3][N+0:4]=[O+0:5]>>[*:1][*:3].[*:5].[*:2]#[*:4]"
217,Primary Amines with Nitrous Acid to Halides,"[C,c;+0:1][N+0H2:2].[F,Cl,Br,I;+0H:3].[O+0H][N+0:5]=[O+0:6]>>[*:1][*:3].[*:6].[*:2]#[*:5]"
218,Primary Amines with Nitrous Acid to Alkenes,[C+0!H0:6][C+0:1][N+0H2:2].[O+0H][N+0:4]=[O+0:5]>>[*:6]=[*:1].[*:5].[*:2]#[*:4]
219,Tiffeneau–Demjanov Rearrangement,[O+0H:1][C+0:2]([C+0:3])([C+0:4])[C+0:5][N+0H2:6].[O+0H][N+0:7]=[O+0:8]>>[*:1]=[*:2]([*:3])[*:5][*:4].[*:8].[*:6]#[*:7]
220,Sandmeyer Cyanation,[c+0:1][N+0H2:2].[C+0H:3]#[N+0:4].[O+0H][N+0:5]=[O+0:6]>>[*:1][*:3]#[*:4].[*:6].[*:2]#[*:5]
221,Reduction of Primary Aromatic Amines,[c+0:1][N+0H2:2].[H][H].[O+0H][N+0:3]=[O+0:4]>>[*:1].[*:4].[*:2]#[*:3]
222,Cope Elimination,[C+0!H0:1][C+0:2]!@[N+0:3]([C+0:4])[C+0:5].[O+0]=[O+0:6]>>[*:1]=[*:2].[*:6][*:3]([*:4])[*:5]
223,"Cope Elimination, Intramolecular",[C+0!H0:1][C+0:2]@[N+0:3]([C+0:4])[C+0:5].[O+0]=[O+0:6]>>([*:1]=[*:2].[*:6][*:3]([*:4])[*:5])
224,Hemiaminal Formation,"[CX3!$(*O)+0:1]=[O+0:2].[N,n;+0X3!H0:3]>>[*:1]([*:2])[*:3]"
225,"Hemiaminal Formation, Reverse",[CX4!$(*(O)O)+0:1]([O+0H:2])-!@[N+0X3:3]>>[*:1]=[*:2].[*:3]
226,Hemiaminal Dehydration,[C+0:1]([O+0H:2])[N+0X3!H0:3]>>[*:1]=[*:3].[*:2]
227,"Hemiaminal Dehydration, Reverse",[C+0:1]=[N+0:3].[O+0H2:2]>>[*:1]([*:2])[*:3]
228,Reduction of Nitroso,"[C,c;+0:1][N+0:2]=[O+0:3].[H][H]>>[*:1][*:2].[*:3]"
229,Reduction of Nitro Compounds,"[C,c;+0:1][N+1](=[O+0:3])[O-1H0].[H][H]>>[*:1][N].[*:3]"
230,Henry Reaction,[C+0!H0:1][N+1:2](=[O+0:3])[OX1-1:4].[CX3!$(*([OH])[OH])+0:5]=[O+0:6]>>[*:6][*:5][*:1][*:2](=[*:3])[*:4]
231,"Henry Reaction, Intramolecular",([C+0!H0:1][N+1:2](=[O+0:3])[OX1-1:4].[CX3!$(*([OH])[OH])+0:5]=[O+0:6])>>[*:6][*:5][*:1][*:2](=[*:3])[*:4]
232,Benzene Nitration,[c+0H:1].[O+0H:2][N+1:3](=[O+0:4])[OX1-1:5]>>[*:1][*:3](=[*:4])[*:5].[*:2]
233,Oxidation of Nitroso,[*+0:1][N+0]=[O+0].[O+0]=[O+0]>>[*:1][N+1](=[O])[O-1]
234,"Esterification, Acid Anhydride Formation with Nitric Acid","[C,c;+0:1][O+0H:2].[O+0H:3][N+1:4](=[O+0:5])[OX1-1:6]>>[*:1][*:2][*:4](=[*:5])[*:6].[*:3]"
235,Nitrate Esters Hydrolysis,"[C,c;+0:1][O+0:2][N+1:4](=[O+0:5])[OX1-1:6].[O+0H2:3]>>[*:1][*:2].[*:3][*:4](=[*:5])[*:6]"
236,Imines from Aldehydes and Ketones,"[CX3!$(*[OH])+0:1]=[O+0:2].[N+0X3;H2,H3:3]>>[*:1]=[*:3].[*:2]"
237,"Imines from Aldehydes and Ketones, Intramolecular","([CX3!$(*[OH])+0:1]=[O+0:2].[N+0X3;H2,H3:3])>>[*:1]=[*:3].[*:2]"
238,Imines from Aldehydes and Ketones Reverse,[CX3!$(*[OH])+0:1]=!@[N+0:3].[O+0H2:2]>>[*:1]=[*:2].[*:3]
239,"Imines from Aldehydes and Ketones, Intramolecular Reverse",[CX3!$(*[OH])+0:1]=@[N+0:3].[O+0H2:2]>>([*:1]=[*:2].[*:3])
240,Treatment of Aldehydes and Ketones with a Secondary Amine,"[C,N;+0!H0:4][CX3!$(*[OH])+0:1]=[O+0:2].[N+0X3H:3]>>[*:4]=[*:1][*:3].[*:2]"
241,"Treatment of Aldehydes and Ketones with a Secondary Amine, Intramolecular","([C,N;+0!H0:4][CX3!$(*[OH])+0:1]=[O+0:2].[N+0X3H:3])>>[*:4]=[*:1][*:3].[*:2]"
242,Treatment of Aldehydes and Ketones with a Secondary Amine Reverse,"[C,N;+0:4]=[CX3!$(*[OH])+0:1]-!@[NX3+0:3].[O+0H2:2]>>[*:4][*:1]=[*:2].[*:3]"
243,"Treatment of Aldehydes and Ketones with a Secondary Amine, Intramolecular Reverse","[C,N;+0:4]=[CX3!$(*[OH])+0:1]-@[NX3+0:3].[O+0H2:2]>>([*:4][*:1]=[*:2].[*:3])"
244,Oxime-Nitroso Tautomerization,[C+0:1]=[N+0:2][O+0H:3]>>[*:1][*:2]=[*:3]
245,Keto-enol Tautomerization Reverse,[C+0!H0:1][N+0:2]=[O+0:3]>>[*:1]=[*:2][*:3]
246,Reduction of Imines,[C+0:1]=[N+0:2].[H][H]>>[*:1][*:2]
247,Beckmann Rearrangement with Ketoximes,"[C,c;+0:1][C+0:2](=[N+0:3][O+0H:4])[C,c;+0:5]>>[*:1][*:2](=[*:4])[*:3][*:5]"
248,Beckmann Rearrangement with Aldoximes,"[C,c;+0:1][C+0H:2](=[N+0:3][O+0H:4])>>[*:1][*:2]#[*:3].[*:4]"
249,Beckmann Rearrangement from Ketones,"[C,c;+0:1][C+0:2](=[O+0:3])[C,c;+0:4].[N+0H2:5][O+0H:6]>>[*:1][*:2](=[*:3])[*:5][*:4].[*:6]"
250,Beckmann Rearrangement from Aldehydes,"[C,c;+0:1][C+0H:2]=[O+0:3].[N+0H2:4][O+0H]>>[*:1][*:2]#[*:4].[*:3]"
251,Beckmann Fragmentation,"[C,c;+0:1][C+0:2](=[N+0:3][O+0H:4])-!@[C+0:5]([C+0:6])([C+0:7])[*+0!H0:8]>>[*:1][*:2]#[*:3].[*:5]([*:6])([*:7])=[*:8].[*:4]"
252,"Beckmann Fragmentation, Intramolecular","[C,c;+0:1][C+0:2](=[N+0:3][O+0H:4])-@[C+0:5]([C+0:6])([C+0:7])[*+0!H0:8]>>([*:1][*:2]#[*:3].[*:5]([*:6])([*:7])=[*:8]).[*:4]"
253,Semmler–Wolff Reaction,[C+0!H0:1]1[C+0!H0:2][C+0!H0:3][C+0:4]=[C+0:5][C+0:6]1=[N+0:7][O+0H:8]>>[*:1]1[*:2]=[*:3][*:4]=[*:5][*:6]=1[*:7].[*:8]
254,Transimination,"[C,c;+0:1]=!@[N!$(*[O,S])+0:2].[N!$(*[O,S]);H2,H3;+0:3]>>[*:1]=[*:3].[*:2]"
255,Imine Metathesis,"[C,c;+0:1]=!@[N!$(*[O,S])+0:2].[C,c;+0:3]=!@[N!$(*[O,S])+0:4]>>[*:1]=[*:4].[*:3]=[*:2]"
256,Wolff–Kishner Reduction,"[C,c;+0:1][C!$(*[O,S])+0:2](=[N+0:3][N+0H2:4])>>[*:1][*:2].[*:3]#[*:4]"
257,Cyanation (Kolbe Nitrile Synthesis),"[C,c+0:1][F,Cl,Br,I;+0:2].[C+0H:3]#[N+0:4]>>[*:1][*:3]#[*:4].[*:2]"
258,Cyanation of Ketones or Aldehydes (Cyanohydrin Reaction),"[CX3!$(*[O,S,N])+0:1]=[O+0:2].[C+0H:3]#[N+0:4]>>[*:1]([*:3]#[*:4])[*:2]"
259,Alkyl Cyanides from Haloalkanes,"[C+0:1][F,Cl,Br,I;+0:2].[C+0H:3]#[N+0:4]>>[*:1][*:3]#[*:4].[*:2]"
260,Nitrile Hydrogenation to Amines,[C+0:1]#[N+0:2].[H][H]>>[*:1][*:2]
261,Nitrile Hydrogenation to Aldehydes,[C+0:1]#[N+0:2].[O+0H2:3].[H][H]>>[*:1]=[*:3].[*:2]
262,Nitrile Hydrogenation to Imines,[C+0:1]#[N+0:2].[H][H]>>[*:1]=[*:2]
263,Nitrile Hydrogenation to Secondary Amines,[C+0:1]#[N+0:2].[C+0:3]#[N+0:4].[H][H]>>[*:1][*:2][*:3].[*:4]
264,"Nitrile Hydrogenation to Secondary Amines, Intramolecular",([C+0:1]#[N+0:2].[C+0:3]#[N+0:4]).[H][H]>>[*:1][*:2][*:3].[*:4]
265,Nitrile Hydrogenation to Tertiary Amines,[C+0:1]#[N+0:2].[C+0:3]#[N+0:4].[C+0:5]#[N+0].[H][H]>>[*:1][*:2]([*:3])[*:5].[*:4]
266,Hydrolysis of Nitriles,[C+0:1]#[N+0:2].[O+0H2:3]>>[*:1](=[O])[*:3].[*:2]
267,Nitriles to Ketones with Grignard Reagents,"[C+0:1]#[N+0:2].[c,C!$(*~O);!$(*#*);+0:3][F,Cl,Br,I;+0].[O+0H2:4]>>[*:1](=[*:4])[*:3].[*:2]"
268,Partial Hydrolysis of Nitriles,[C+0:1]#[N+0:2].[O+0H2:3]>>[*:1](=[*:3])[*:2]
269,Epoxides Ring Opening with Cyanides,[C+0:1]1[C+0:2][O+0:3]1.[C+0H:4]#[N+0:5]>>[*:5]#[*:4][*:1][*:2][*:3]
270,"Azide-Alkyne, Azide-Nitrile Cycloaddition","[N+0:1]=[N+1]=[N-1].[C,N;+0:4]#[C+0:5]>>[*:1]1[N]=[N][*:4]=[*:5]1"
271,Azide Salts as Nucleophiles,"[C+0:1][F,Cl,Br,I,OH;+0:2].[N+0H:3]=[N+1:4]=[N-1:5]>>[*:1][*:3]=[*:4]=[*:5].[*:2]"
272,Reduction of Azides,[N+0:1]=[N+1]=[N-1].[H][H]>>[*:1].[N]#[N]
273,Curtius Rearrangement,"[C,c;+0:1][C+0:2](=[O+0:3])[N+0:4]=[N+1]=[N-1]>>[*:1][*:4]=[*:2]=[*:3].[N]#[N]"
274,Esters from Diazoes and Carboxylic Acids,[CX3!$(*([OH])[OH])+0:1](=[O+0:2])[O+0H:3].[CX3+0:4]=[N+1]=[N-1]>>[*:1](=[*:2])[*:3][*:4].[N]#[N]
275,"Isocyanates, Isothiocyanate with Nucleophiles","[C,c;+0:1][N+0:2]=[C+0:3]=[O,S;+0:4].[NX3!H0,O!H0;+0:5]>>[*:1][*:2][*:3](=[*:4])[*:5]"
276,Isocyanates with Water,"[C,c;+0:1][N+0:2]=[C+0:3]=[O+0:4].[OH2+0:5]>>[*:1][*:2].[*:3](=[*:4])=[*:5]"
277,Isocyanates with Carboxylic Acid,"[C,c;+0:1][N+0:2]=[C+0:3]=[O+0:4].[O+0H:5][C+0:6](=[O+0:7])[C,c;+0:8]>>[*:1][*:2][*:3](=[*:4])[*:8].[*:5]=[*:6]=[*:7]"
278,"Synthesis of Isocyanates, Isothiocyanates","[C,c;+0:1][N+0H2:2].[Cl+0][C+0:4](=[O,SX1;+0:5])[Cl+0:6]>>[*:1][*:2]=[*:4]=[*:5].[*:6]"
279,Synthesis of Isothiocyanates,"[C,c;+0:1][N+0H2:2].[S+0:3]=[C+0:4]=[S+0:5]>>[*:1][*:2]=[*:4]=[*:5].[*:3]"
280,Hydrosulfide Anion Substitution with Alkyl Halides,"[C,c;+0:1][F,Cl,Br,I;+0:2].[S!H0X2+0:3]>>[*:1][*:3].[*:2]"
281,"Hydrosulfide Anion Substitution with Alkyl Halides, Intramolecular","([C,c;+0:1][F,Cl,Br,I;+0:2].[S!H0X2+0:3])>>[*:1][*:3].[*:2]"
282,Preparation of Sulfides,"[C,c;+0:1][F,Cl,Br,I;+0:2].[C,c;+0:3][F,Cl,Br,I;+0].[SH2X2+0:5]>>[*:1][*:5][*:3].[*:2]"
283,"Preparation of Sulfides, Intramolecular","([C,c;+0:1][F,Cl,Br,I;+0:2].[C,c;+0:3][F,Cl,Br,I;+0]).[SH2X2+0:5]>>[*:1][*:5][*:3].[*:2]"
